"east" "north" "yield" "treatment"
317945.86 6093834.89 6.43147532869014 "control"
317832.89 6093813.39 6.18068644576722 "control"
317935.09 6093805.26 5.97440738211968 "control"
317938.3 6093786.13 6.81518196926257 "control"
317844.49 6093891.31 7.33577796268697 "control"
317938.56 6093795.9 6.6454058841761 "control"
317936.43 6093717.29 6.43729566854176 "control"
317933.09 6093737.97 6.97199507299784 "control"
317838.11 6093878.75 6.59975682352202 "control"
317863.17 6093813.23 6.7169298150654 "control"
317868.73 6093794.92 6.26409262522233 "control"
317969.97 6093780.45 6.74862338961952 "control"
317917.62 6093917.54 6.74556246996592 "control"
317860.03 6093789.2 6.46320368413549 "control"
317876 6093942.77 6.65066788753475 "control"
317874.11 6093874.93 6.72958752910566 "control"
317897.36 6093728.92 6.83480426076511 "control"
317970.34 6093793.66 6.46402970966849 "control"
317845.64 6093937.61 6.57819607001814 "control"
317838.88 6093920.93 6.42467980048775 "control"
317902.79 6093805.94 7.2005269960744 "control"
317845.35 6093929.28 6.83320450392213 "control"
317833.07 6093817.84 6.46203703907983 "control"
317936.93 6093737.05 6.28246269048978 "control"
317955.53 6093873.37 7.20297614905427 "control"
317861.94 6093762.05 7.18481942502197 "control"
317844.39 6093887.09 6.54488134607353 "control"
317869.17 6093808.92 6.6403405694933 "control"
317954.92 6093850.05 7.17618723262721 "control"
317936.63 6093720.62 6.5083307996817 "control"
317939.06 6093726.55 6.76932072107805 "control"
317967.33 6093785.28 6.74963578481966 "control"
317830.74 6093820.56 6.86116969705659 "control"
317838.25 6093885.3 6.45032204403601 "control"
317879.14 6093832.98 6.82127962947104 "control"
317909.46 6093835.81 6.8720792540079 "control"
317954.59 6093830.29 7.27478775643242 "control"
317875.74 6093928.79 6.35635887874077 "control"
317899.28 6093826.4 6.48695087538357 "control"
317866.8 6093724.2 6.75450341758057 "control"
317948.67 6093857.36 6.74968901957955 "control"
317859.99 6093786.42 6.55465112577698 "control"
317875.97 6093940 7.23301394714129 "control"
317900.72 6093719.89 6.72986868498761 "control"
317939.85 6093750.1 7.40320821472512 "control"
317938.78 6093802.56 6.85404104823973 "control"
317966.28 6093738.43 7.2402053619468 "control"
317967.84 6093795.94 6.69414657436678 "control"
317941.5 6093816.49 6.76914458369818 "control"
317880.36 6093862.41 6.85212405967898 "control"
317897.58 6093740.14 7.16417681730033 "control"
317868.16 6093769.17 6.48192776528218 "control"
317875.8 6093836.24 7.2660926842896 "control"
317911.46 6093898.44 7.29832287922492 "control"
317845.25 6093921.06 6.57592319082998 "control"
317844.72 6093902.08 7.13212360699014 "control"
317876.13 6093945.55 6.7886894069585 "control"
317939.29 6093822.22 7.06985324247488 "control"
317830.64 6093812.24 6.58422850524206 "control"
317968.17 6093815.26 6.5434044015226 "control"
317897.3 6093731.81 7.30616391090452 "control"
317882.31 6093945.34 6.76353776903251 "control"
317902.21 6093780.73 6.34129116679545 "control"
317916.81 6093881.13 6.51247543510989 "control"
317833.02 6093820.05 6.36695014179011 "control"
317945.91 6093854.75 7.11164943163839 "control"
317838.49 6093895.85 7.3789201345652 "control"
317848.46 6093950.76 7.28914875986983 "control"
317902.66 6093794.62 6.93670199739566 "control"
317969.53 6093770.67 7.32524636131733 "control"
317831.55 6093767.53 7.20571062224262 "control"
317879.97 6093859.52 6.3795110493656 "control"
317880.49 6093874.06 6.85190676639328 "control"
317845.63 6093933.5 6.21730557936212 "control"
317933.21 6093741.42 7.22664612726296 "control"
317945.61 6093838.21 7.3351666495525 "control"
317844.44 6093893.53 6.68959165406276 "control"
317858.63 6093723.7 7.03224487779952 "control"
317867.95 6093766.39 7.53963161112498 "control"
317897.77 6093762.33 7.40794913952625 "control"
317948.49 6093844.04 7.2725938260776 "control"
317948.6 6093847.37 7.57838202896824 "control"
317863.07 6093804.8 7.61304971950906 "control"
317897.01 6093723.48 7.38861574148924 "control"
317934.3 6093768.29 7.25867920197169 "control"
317967.71 6093793.39 7.12218783549584 "control"
317837.88 6093880.96 7.16790905896057 "control"
317844.44 6093884.87 7.09521873659453 "control"
317902.27 6093778.18 7.01930605640065 "control"
317941.18 6093809.82 6.91233055811868 "control"
317932.84 6093727.98 6.51996728045743 "control"
317869.3 6093811.69 7.32077846940099 "control"
317932.98 6093734.64 7.33336696906399 "control"
317938.28 6093782.8 7.82400655655534 "control"
317971.76 6093706.13 6.54563322880413 "control"
317845.73 6093941.83 7.42967724600027 "control"
317845.49 6093931.5 6.87069461438791 "control"
317844.35 6093889.31 7.490441653662 "control"
317901.42 6093752.86 7.09312799824938 "control"
317862.92 6093799.02 7.62420841109588 "control"
317917.85 6093928.64 6.47946774083308 "control"
317969.39 6093751.03 6.94204965659677 "control"
317868.41 6093774.94 7.883240533839 "control"
317902.32 6093789.06 6.82600233712767 "control"
317897.46 6093737.36 6.60527993850061 "control"
317969.08 6093734.93 7.01099222089256 "control"
317830.74 6093816.34 7.27423727372958 "control"
317842.74 6093963.63 7.52932218994176 "control"
317900.49 6093708.79 7.3405011668364 "control"
317920.03 6093924.25 7.01769553637921 "control"
317949.11 6093867.36 7.42727686130427 "control"
317874.16 6093872.16 6.5125693231291 "control"
317955.67 6093880.03 7.29664066844504 "control"
317869.01 6093803.36 7.21721774332053 "control"
317898.28 6093781.76 7.79920553656253 "control"
317847.73 6093919.67 7.02571541057026 "control"
317932.74 6093809.1 7.28177659289485 "control"
317949.86 6093897.56 7.37155781027894 "control"
317970.88 6093816.2 7.83734466431474 "control"
317869.24 6093814.69 7.40071398442766 "control"
317955.36 6093886.57 7.10638172557716 "control"
317933.62 6093747.97 7.4290611047031 "control"
317879.45 6093835.65 6.87223379675822 "control"
317913.62 6093890.83 7.34726724525509 "control"
317933.76 6093825.99 7.57166457318496 "control"
317915.91 6093845.04 7.1535800929238 "control"
317951.77 6093879.62 6.56596312526229 "control"
317861.57 6093753.72 7.51009935350892 "control"
317866.87 6093729.75 6.59322526390364 "control"
317882.15 6093850.79 7.18480426624272 "control"
317869.58 6093820.24 7.42585541135772 "control"
317971.87 6093709.35 7.63572251559081 "control"
317839.22 6093935.59 6.988627592208 "control"
317915.19 6093947.46 7.31776438472684 "control"
317936.13 6093713.95 7.4346630475125 "control"
317868 6093763.62 7.30546880157542 "control"
317869.14 6093806.14 7.79827976830389 "control"
317831.49 6093756.77 7.17711296400019 "control"
317945.74 6093831.78 7.88809799195024 "control"
317951.61 6093869.41 6.83185568843074 "control"
317832.65 6093802.51 7.26586209792797 "control"
317901.83 6093764.08 7.35307278777629 "control"
317897.52 6093734.48 6.94956628715746 "control"
317899 6093817.84 7.24906203900512 "control"
317948.99 6093864.03 6.73942356333211 "control"
317862.51 6093787.7 7.86830879976323 "control"
317911.52 6093895.67 7.24845894212871 "control"
317934.73 6093791.94 7.58449559748872 "control"
317910.22 6093856.58 6.9982468156516 "control"
317955.28 6093863.6 8.08432229408597 "control"
317951.16 6093855.97 7.26887557634221 "control"
317847.14 6093908.34 7.44870538783704 "control"
317954.99 6093860.04 7.74529646606469 "control"
317955.24 6093856.61 7.54147959243388 "control"
317875.84 6093839.01 8.09181141863597 "control"
317902.28 6093786.28 7.4115165181171 "control"
317899.25 6093823.62 8.35743051662938 "control"
317844.19 6093870.22 6.83060056435795 "control"
317830.49 6093805.91 7.40420657033106 "control"
317884.55 6093942.95 8.33183735907261 "control"
317900.83 6093728 7.45807278684808 "control"
317911.82 6093912.32 7.48366889751502 "control"
317897.93 6093767.89 7.28175579434905 "control"
317831.92 6093780.64 7.92154553239846 "control"
317860.53 6093808.96 7.56945935984467 "control"
317867.28 6093741.07 7.84542384006558 "control"
317867.9 6093755.07 7.21653680564722 "control"
317901.14 6093730.78 7.4150654326992 "control"
317866.18 6093786.33 6.86016328020041 "control"
317968.46 6093823.36 7.75173197345243 "control"
317846 6093848.39 7.25605476192603 "control"
317951.45 6093872.73 7.99332507780909 "control"
317830.36 6093803.69 6.55130023781297 "control"
317839.41 6093939.81 7.41254998738199 "control"
317847.39 6093913.89 8.20641399960848 "control"
317866.52 6093715.65 7.25387648160656 "control"
317914.23 6093914.14 7.14524430404275 "control"
317953.78 6093959.78 7.88053556843394 "control"
317863.36 6093821.78 8.10780674580652 "control"
317876.3 6093847.57 7.8517524363394 "control"
317968.47 6093809.71 7.18809124276667 "control"
317830.78 6093818.57 7.88563589420232 "control"
317838.63 6093897.85 7.33107007610268 "control"
317831.36 6093754.55 8.4420485664249 "control"
317862.85 6093793.47 7.63409432348583 "control"
317950.55 6093917.32 7.98624659662496 "control"
317862.95 6093802.02 7.54907999794346 "control"
317956.63 6093913.34 7.51069014649492 "control"
317845.11 6093914.62 8.18601124653572 "control"
317875.86 6093833.46 7.40787466611391 "control"
317965.14 6093713.99 7.19728736777243 "control"
317916.24 6093864.69 7.4645506719173 "control"
317861.94 6093770.93 7.74705803130241 "control"
317941.12 6093799.73 7.7942453610934 "control"
317951.48 6093862.63 7.2120098547753 "control"
317837.68 6093868.2 7.81510784940168 "control"
317844.96 6093912.62 7.63181999655098 "control"
317863.24 6093818.78 7.17181905759825 "control"
317932.64 6093724.65 7.56217935675262 "control"
317898.51 6093792.87 7.38514366309273 "control"
317971.34 6093824.86 7.64804776741467 "control"
317968.48 6093817.81 7.70035148954764 "control"
317860.78 6093725.18 7.87893447619538 "control"
317902.96 6093811.27 7.64027134892635 "control"
317902.16 6093783.51 8.06652952546093 "control"
317901.54 6093755.75 7.78891598697724 "control"
317832.51 6093795.96 7.56803855729654 "control"
317949.79 6093887.68 7.76264608923419 "control"
317866.28 6093794.87 7.73301804776133 "control"
317917.69 6093923.09 8.51137743513662 "control"
317948.47 6093840.71 8.01405613088319 "control"
317848.39 6093945.21 7.75415419594294 "control"
317955.92 6093903.34 7.73636362677629 "control"
317933.66 6093754.74 8.07601602544235 "control"
317967.36 6093788.05 7.74977394386738 "control"
317832.2 6093789.3 7.89135262987081 "control"
317866.02 6093780.55 7.93823937061909 "control"
317913.98 6093904.04 7.84646126034643 "control"
317844.05 6093868.22 7.24481481806245 "control"
317831.41 6093765.42 8.07484711547707 "control"
317869.36 6093817.46 7.91718566047684 "control"
317897.65 6093745.58 7.76616185327088 "control"
317969.27 6093747.92 8.3620662919791 "control"
317841.78 6093926.21 8.09459351760491 "control"
317862.63 6093790.69 7.34001857867035 "control"
317838.68 6093899.85 8.33745136039978 "control"
317845.78 6093939.83 7.90600888473741 "control"
317845.2 6093923.17 7.24228558299261 "control"
317884.42 6093940.17 8.7084943315056 "control"
317912.06 6093931.52 7.6480791420856 "control"
317933.26 6093819.1 7.58457225045158 "control"
317938.16 6093779.69 7.85701500234755 "control"
317884.25 6093935.06 7.57866977474207 "control"
317912.56 6093942.96 8.14417763252942 "control"
317902.67 6093803.16 8.05948200717274 "control"
317832.24 6093791.52 7.53533928387195 "control"
317833.3 6093824.28 8.12096350410966 "control"
317867.85 6093757.84 7.97057046230897 "control"
317902.55 6093800.16 8.03182738225488 "control"
317911.76 6093915.09 8.01981914036792 "control"
317895.44 6093746.97 7.98515304829071 "control"
317967.02 6093782.5 7.40582939813321 "control"
317874.22 6093860.62 7.65006310901279 "control"
317843.19 6093834.69 8.87911410225496 "control"
317832.38 6093793.74 7.27220192731522 "control"
317844.59 6093899.97 8.24820245636779 "control"
317861.44 6093742.18 8.03474438993083 "control"
317946.35 6093877.62 7.61344900089633 "control"
317874.09 6093866.61 8.6483302185239 "control"
317918.34 6093837.32 8.04322087729262 "control"
317956.93 6093943.31 7.05856599051446 "control"
317830.12 6093793.14 7.50554958636538 "control"
317873.53 6093840.85 8.31344687523643 "control"
317901.12 6093736.32 7.74751381395624 "control"
317916.9 6093895 7.67478472872352 "control"
317915.5 6093834.16 8.20608646384994 "control"
317933.15 6093815.76 7.57326058055744 "control"
317951.48 6093876.06 7.1434774979078 "control"
317917.56 6093920.32 8.30791341646537 "control"
317898.57 6093789.98 8.01755835594583 "control"
317916.52 6093873.02 7.29607718190898 "control"
317956.75 6093929.99 7.91341355674279 "control"
317830.33 6093715.69 7.77400597466451 "control"
317954.98 6093846.73 7.98638635871528 "control"
317902.44 6093791.84 8.63690339591616 "control"
317905.64 6093813.54 7.90075694019379 "control"
317832.14 6093782.86 7.58978839440937 "control"
317897.64 6093759.56 8.24501892736558 "control"
317876.22 6093954.32 8.17596323885492 "control"
317881.99 6093836.03 8.20422534800552 "control"
317915.62 6093836.94 7.53876109389874 "control"
317939.32 6093825.54 7.77818394755512 "control"
317845.35 6093925.17 8.21722950002027 "control"
317866.81 6093808.76 8.20279389380418 "control"
317866.76 6093811.53 8.63483146730313 "control"
317875.33 6093917.46 8.03041027447756 "control"
317917.72 6093925.87 7.97375565959166 "control"
317915.92 6093853.59 8.95948961373069 "control"
317937 6093746.93 7.52831134664313 "control"
317882.5 6093953.89 7.91005688225159 "control"
317904.35 6093765.24 8.60368945728132 "control"
317842.79 6093961.41 7.8338387597438 "control"
317858.6 6093720.7 8.27996129680917 "control"
317880.02 6093856.74 7.6388408996842 "control"
317919.56 6093898.16 8.3095624100093 "control"
317864.83 6093740.58 8.27381522835935 "control"
317847.11 6093905.45 8.78218701252303 "control"
317901.57 6093758.53 7.90687285676775 "control"
317916.93 6093898 7.39202353187633 "control"
317935.99 6093707.51 7.78454083028462 "control"
317946.26 6093864.3 7.66475020500206 "control"
317844.2 6093874.43 8.35591577736712 "control"
317897.6 6093748.46 6.98685930874166 "control"
317939.44 6093828.65 8.34121990333375 "control"
317969.22 6093741.48 8.91839856921029 "control"
317933.46 6093822.65 7.51464411512683 "control"
317945.94 6093857.86 7.90269719199502 "control"
317952.18 6093886.29 7.23331410452808 "control"
317841.82 6093919.55 8.38629031299322 "control"
317863.31 6093824.55 8.94803402427475 "control"
317911.71 6093903.99 8.41915473323223 "control"
317918.82 6093867.52 8.26148697733733 "control"
317936.89 6093743.71 7.68764275042391 "control"
317909.52 6093837.15 8.11563112355674 "control"
317900.38 6093714.34 8.02687166169189 "control"
317916.08 6093859.14 7.75822709912394 "control"
317897.7 6093756.78 8.25725377596713 "control"
317897.8 6093765.11 8.38350017953333 "control"
317918.23 6093833.99 7.60524056198021 "control"
317920.26 6093930.8 8.07354993418344 "control"
317839.17 6093929.26 8.68833960446125 "control"
317838.11 6093883.19 7.79708023367511 "control"
317900.62 6093711.57 9.06282112473348 "control"
317937.12 6093750.26 8.12112323215147 "control"
317838.35 6093889.3 8.36763574860545 "control"
317873.59 6093837.86 8.6681866509748 "control"
317838.83 6093910.39 8.59207825116403 "control"
317842.24 6093948.08 8.76245756927275 "control"
317840.9 6093889.02 8.63082554050319 "control"
317901.86 6093766.86 8.37019735382462 "control"
317912.5 6093945.74 8.55447149507521 "control"
317920.7 6093953.89 8.48202969829957 "control"
317949.91 6093903.99 7.45868196607378 "control"
