Easting	Northing
316794.04	6088787.08
316793.76	6088782.97
316803.54	6088928.43
316874.04	6088869.38
316911.83	6088920.64
316897.23	6088726.26
317003.31	6088760.04
316874.15	6088854.96
317008.22	6088724.08
317022.44	6088950.63
316787.09	6088740.11
316803.49	6088930.65
316808.84	6088900.24
317011.68	6088755.44
316938.81	6088805.78
316948.75	6088853.81
316939.56	6088746.54
316842.56	6088954.74
316899.13	6088820.62
316931.18	6088729.17
316968.96	6088731.6
316992.14	6088942.58
317020.47	6088913.53
316845.07	6088916.62
316954.66	6088840.28
316789.07	6088830.59
316786.65	6088730.33
316792.98	6088750.21
317026.47	6088922.53
317005.81	6088762.31
316863.23	6088810.46
316945.93	6088844.77
316825.53	6088750.21
316789.44	6088749.81
316898.05	6088770.66
316804.2	6088949.53
316808.88	6088898.02
316841.41	6088908.67
317025.96	6088858.16
316932.44	6088792.45
316787.37	6088757.31
317004.49	6088813.89
316971	6088819.53
316956.47	6088916.89
316982.7	6088892.68
316809.95	6088935.22
316847.83	6088928.22
316792.45	6088735.78
316932.8	6088805.99
316945.68	6088848.09
316934.86	6088798.6
316788.35	6088798.84
317020.53	6088923.74
316910.79	6088873.24
316802.64	6088900.78
316841.54	6088910.89
316934.61	6088775.18
316935.05	6088811.92
316805.06	6088907.37
316916.82	6088889.67
316937.97	6088766.37
316965.93	6088733.09
316809.65	6088918.67
316811.81	6088924.16
316841.36	6088902.12
316868.86	6088797.7
316878.04	6088918.62
316788.61	6088808.39
317003.94	6088786.91
316966.63	6088765.95
316877.75	6088901.64
316827.2	6088815.72
316786.78	6088732.89
317018.56	6088842.14
316968.41	6088825.91
316862.07	6088773.48
317026.49	6088907.99
317025.37	6088873.57
316805.2	6088913.59
316843.91	6088861.89
316842.52	6088956.96
316867.15	6088738.3
316788.73	6088815.6
317008.15	6088714.09
316804.01	6088945.42
316898.44	6088787.32
316931.21	6088732.5
317019.66	6088886.21
316976.25	6088771.37
316868.28	6088772.17
316936.68	6088727.28
316948.42	6088834.05
316787.75	6088774.52
316968.41	6088812.49
316934.5	6088771.63
316990.07	6088856.54
316805.68	6088930.47
316868.8	6088800.47
