Easting	Northing
284683.5	6249432.22
284678.81	6249442.73
284687.42	6249410
284713.98	6249280.91
284716.3	6249272.15
284725.28	6249240.91
284708.23	6249292.35
284716.33	6249260.84
284724.14	6249230.58
284715.65	6249251.49
284723.67	6249221.81
284678.51	6249369.34
284686.76	6249340.49
284688.44	6249332.47
284695.8	6249304.83
284677.1	6249352.16
284677.89	6249348.24
284687.53	6249311.65
284644.74	6249452.05
284647.47	6249441.81
284655.43	6249410.71
284648.07	6249432.35
284655.18	6249400.49
284637.09	6249461.11
284654.93	6249390.32
284678.36	6249272.75
284686.86	6249241.73
284689.34	6249231.35
284694.08	6249215.32
284694.14	6249212.26
284674.51	6249280.43
284673.68	6249278.76
284678.1	6249261.29
284684	6249239.64
284689	6249221.19
284678	6249251.58
284687	6249214.84
284640	6249372.19
284642	6249368.26
284658	6249304.61
284639	6249362.19
284648	6249331.95
284658	6249295.36
284640	6249354.42
284617	6249413.04
284620	6249405.41
284614	6249416.43
284620	6249395.58
284612	6249411.86
284620	6249380.47
